Customer_ID,Sex,Marital_Status,Age,Education,Income,Occupation,Spending_Score
DS-52235638-N,Female,Married,57,Master's,115505,Retired,14
DS-75952450-N,Male,Divorced,25,High School,40472,White-Collar,65
DS-59303085-N,Female,Married,33,Bachelor's,42501,Self-Employed,49
DS-15738597-N,Male,Married,35,High School,27035,Unemployed,26
DS-76036595-N,Male,Married,41,Bachelor's,109458,White-Collar,99
DS-73059094-N,Female,Married,62,Master's,99046,Manager,31
DS-63037160-N,Female,Married,45,PhD,117961,Manager,91
DS-89597862-N,Female,Single,30,PhD,22981,White-Collar,26
DS-61169079-N,Female,Married,54,Master's,68980,Self-Employed,32
DS-30737293-N,Male,Single,44,Master's,26473,Unemployed,9
DS-50346274-N,Female,Single,18,Some College,30790,White-Collar,81
DS-22855546-N,Male,Single,34,Some College,12790,Student,30
DS-62067353-N,Male,Married,29,PhD,14836,Blue-Collar,23
DS-79827262-N,Male,Divorced,24,Some College,35088,Blue-Collar,78
DS-79371051-N,Female,Married,45,Master's,73006,Self-Employed,29
DS-35362531-N,Male,Married,51,Bachelor's,114723,Manager,95
DS-41227124-N,Female,Married,43,Bachelor's,83720,Manager,79
DS-32467845-N,Male,Single,48,Master's,37760,Manager,11
DS-25346892-N,Female,Divorced,24,Bachelor's,46735,Self-Employed,81
DS-16149828-N,Male,Single,29,Bachelor's,67434,White-Collar,64
DS-21341994-N,Female,Divorced,22,Master's,26265,Unemployed,94
DS-39061309-N,Female,Married,31,PhD,78252,Manager,91
DS-63514511-N,Male,Single,29,Master's,63095,Self-Employed,57
DS-87599175-N,Male,Married,30,Bachelor's,47412,Manager,65
DS-91454770-N,Male,Single,31,Master's,43256,Student,73
DS-27830076-N,Female,Divorced,28,Master's,29255,Self-Employed,87
DS-16048600-N,Male,Married,26,Bachelor's,59520,White-Collar,48
DS-32970424-N,Male,Divorced,33,Bachelor's,25272,Student,61
DS-51189790-N,Female,Married,41,Master's,59417,White-Collar,64
DS-46698591-N,Female,Married,70,Master's,64578,Self-Employed,22
DS-16812916-N,Male,Single,27,Some College,22499,Blue-Collar,26
DS-86524360-N,Male,Divorced,22,High School,42309,Unemployed,84
DS-71501004-N,Female,Married,36,Bachelor's,37697,Manager,65
DS-36798896-N,Female,Divorced,23,Some College,34498,Self-Employed,77
DS-83204995-N,Female,Married,55,Bachelor's,104570,Manager,86
DS-67756094-N,Male,Married,59,High School,75526,Blue-Collar,40
DS-35130241-N,Male,Divorced,66,Master's,72867,Self-Employed,38
DS-52729830-N,Male,Single,28,Some College,23839,Blue-Collar,72
DS-17991392-N,Male,Divorced,25,Bachelor's,28669,Manager,84
DS-81452015-N,Male,Married,45,PhD,100863,Self-Employed,24
DS-88844531-N,Male,Married,35,Master's,62289,White-Collar,45
DS-96449335-N,Male,Single,33,Bachelor's,61979,Self-Employed,39
DS-98351688-N,Male,Single,22,Some College,17548,Manager,21
DS-87913180-N,Male,Divorced,26,High School,28999,Unemployed,67
DS-59453986-N,Male,Divorced,21,High School,38994,Student,70
DS-19018639-N,Male,Divorced,29,Bachelor's,37894,Manager,96
DS-91766216-N,Female,Divorced,18,High School,38080,Unemployed,72
DS-22867173-N,Male,Widowed,33,Some College,25749,Manager,24
DS-24644093-N,Male,Divorced,38,Some College,78436,Self-Employed,60
